cod_dane,Municipio,Departamento,SubPDET,n_edificios_goo,area_total_goo,area_prom_goo,n_edificios_ms,area_total_ms,area_prom_ms
05031,AMALFI,ANTIOQUIA,BAJO CAUCA Y NORDESTE ANTIOQUEÑO,2380.0,170505.65,71.64,0.0,0.0,0.0
05040,ANORÍ,ANTIOQUIA,BAJO CAUCA Y NORDESTE ANTIOQUEÑO,6272.0,454241.98,72.42,0.0,0.0,0.0
05045,APARTADÓ,ANTIOQUIA,URABÁ ANTIOQUEÑO,30278.0,3343477.98,110.43,0.0,0.0,0.0
05107,BRICEÑO,ANTIOQUIA,BAJO CAUCA Y NORDESTE ANTIOQUEÑO,2844.0,190009.9,66.81,0.0,0.0,0.0
05120,CÁCERES,ANTIOQUIA,BAJO CAUCA Y NORDESTE ANTIOQUEÑO,10325.0,897867.86,86.96,0.0,0.0,0.0
05147,CAREPA,ANTIOQUIA,URABÁ ANTIOQUEÑO,14007.0,1594428.16,113.83,0.0,0.0,0.0
05154,CAUCASIA,ANTIOQUIA,BAJO CAUCA Y NORDESTE ANTIOQUEÑO,25146.0,2543190.22,101.14,0.0,0.0,0.0
05172,CHIGORODÓ,ANTIOQUIA,URABÁ ANTIOQUEÑO,16240.0,1768196.05,108.88,0.0,0.0,0.0
05234,DABEIBA,ANTIOQUIA,URABÁ ANTIOQUEÑO,6111.0,441914.2,72.31,0.0,0.0,0.0
05250,EL BAGRE,ANTIOQUIA,BAJO CAUCA Y NORDESTE ANTIOQUEÑO,11965.0,1172243.36,97.97,0.0,0.0,0.0
05361,ITUANGO,ANTIOQUIA,BAJO CAUCA Y NORDESTE ANTIOQUEÑO,7175.0,559061.75,77.92,0.0,0.0,0.0
05475,MURINDÓ,ANTIOQUIA,CHOCÓ,0.0,0.0,0.0,0.0,0.0,0.0
05480,MUTATÁ,ANTIOQUIA,URABÁ ANTIOQUEÑO,4546.0,431817.72,94.99,0.0,0.0,0.0
05490,NECOCLÍ,ANTIOQUIA,URABÁ ANTIOQUEÑO,27053.0,2164626.22,80.01,0.0,0.0,0.0
05495,NECHÍ,ANTIOQUIA,BAJO CAUCA Y NORDESTE ANTIOQUEÑO,2784.0,206439.7,74.15,0.0,0.0,0.0
05604,REMEDIOS,ANTIOQUIA,BAJO CAUCA Y NORDESTE ANTIOQUEÑO,10927.0,883107.63,80.82,0.0,0.0,0.0
05665,SAN PEDRO DE URABA,ANTIOQUIA,URABÁ ANTIOQUEÑO,18810.0,1546038.31,82.19,0.0,0.0,0.0
05736,SEGOVIA,ANTIOQUIA,BAJO CAUCA Y NORDESTE ANTIOQUEÑO,13403.0,1089834.69,81.31,0.0,0.0,0.0
05790,TARAZÁ,ANTIOQUIA,BAJO CAUCA Y NORDESTE ANTIOQUEÑO,9559.0,746987.87,78.14,0.0,0.0,0.0
05837,TURBO,ANTIOQUIA,URABÁ ANTIOQUEÑO,66587.0,5607169.7,84.21,0.0,0.0,0.0
05854,VALDIVIA,ANTIOQUIA,BAJO CAUCA Y NORDESTE ANTIOQUEÑO,5206.0,400815.15,76.99,0.0,0.0,0.0
05873,VIGÍA DEL FUERTE,ANTIOQUIA,CHOCÓ,0.0,0.0,0.0,0.0,0.0,0.0
05893,YONDÓ,ANTIOQUIA,SUR DE BOLÍVAR,8870.0,824735.73,92.98,0.0,0.0,0.0
05895,ZARAGOZA,ANTIOQUIA,BAJO CAUCA Y NORDESTE ANTIOQUEÑO,9110.0,658626.48,72.3,0.0,0.0,0.0
13042,ARENAL,BOLÍVAR,SUR DE BOLÍVAR,5951.0,461313.08,77.52,0.0,0.0,0.0
13160,CANTAGALLO,BOLÍVAR,SUR DE BOLÍVAR,4082.0,314823.61,77.12,0.0,0.0,0.0
13212,CÓRDOBA,BOLÍVAR,MONTES DE MARÍA,8331.0,612645.28,73.54,0.0,0.0,0.0
13244,EL CARMEN DE BOLÍVAR,BOLÍVAR,MONTES DE MARÍA,32342.0,2346603.59,72.56,0.0,0.0,0.0
13248,EL GUAMO,BOLÍVAR,MONTES DE MARÍA,4147.0,343955.47,82.94,0.0,0.0,0.0
13442,MARÍA LA BAJA,BOLÍVAR,MONTES DE MARÍA,17356.0,1346692.72,77.59,0.0,0.0,0.0
13473,MORALES,BOLÍVAR,SUR DE BOLÍVAR,10213.0,828772.76,81.15,0.0,0.0,0.0
13654,SAN JACINTO,BOLÍVAR,MONTES DE MARÍA,12319.0,896609.83,72.78,0.0,0.0,0.0
13657,SAN JUAN NEPOMUCENO,BOLÍVAR,MONTES DE MARÍA,18529.0,1357151.65,73.24,0.0,0.0,0.0
13670,SAN PABLO,BOLÍVAR,SUR DE BOLÍVAR,13440.0,1052887.92,78.34,0.0,0.0,0.0
13688,SANTA ROSA DEL SUR,BOLÍVAR,SUR DE BOLÍVAR,16266.0,1413893.34,86.92,0.0,0.0,0.0
13744,SIMITÍ,BOLÍVAR,SUR DE BOLÍVAR,9288.0,785271.63,84.55,0.0,0.0,0.0
13894,ZAMBRANO,BOLÍVAR,MONTES DE MARÍA,5109.0,414279.51,81.09,0.0,0.0,0.0
18001,FLORENCIA,CAQUETÁ,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,48674.0,6925916.84,142.29,0.0,0.0,0.0
18029,ALBANIA,CAQUETÁ,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,2464.0,306244.77,124.29,0.0,0.0,0.0
