Location,QuadKey,Url,Size,UploadDate
Colombia,32203213,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032203213/part-00135-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,615.5KB,2026-02-23
Colombia,32203231,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032203231/part-00158-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,260.5KB,2026-02-23
Colombia,32203300,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032203300/part-00038-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,130.4KB,2026-02-23
Colombia,32212332,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032212332/part-00101-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,4.5MB,2026-02-23
Colombia,32212333,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032212333/part-00069-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,848.7KB,2026-02-23
Colombia,32213221,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032213221/part-00144-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,1.8MB,2026-02-23
Colombia,32213222,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032213222/part-00102-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,6.9MB,2026-02-23
Colombia,32213223,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032213223/part-00125-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,6.8MB,2026-02-23
Colombia,32213230,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032213230/part-00152-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,1.4MB,2026-02-23
Colombia,32213232,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032213232/part-00145-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,120.2KB,2026-02-23
Colombia,32223313,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032223313/part-00066-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,989.1KB,2026-02-23
Colombia,32223331,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032223331/part-00199-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,981B,2026-02-23
Colombia,32230023,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032230023/part-00078-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,64.8KB,2026-02-23
Colombia,32230031,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032230031/part-00050-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,1.6MB,2026-02-23
Colombia,32230032,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032230032/part-00090-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,811.1KB,2026-02-23
Colombia,32230033,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032230033/part-00022-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,5.0MB,2026-02-23
Colombia,32230100,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032230100/part-00158-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,1.4MB,2026-02-23
Colombia,32230101,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032230101/part-00137-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,19.1MB,2026-02-23
