Location,QuadKey,Url,Size,UploadDate
Colombia,210010100,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=210010100/part-00015-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,19.7KB,2026-02-23
Colombia,210010101,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=210010101/part-00094-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,340.3KB,2026-02-23
Colombia,210010110,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=210010110/part-00147-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,26.4KB,2026-02-23
Colombia,210010111,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=210010111/part-00181-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,17.1KB,2026-02-23
Colombia,210010112,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=210010112/part-00129-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,15.6KB,2026-02-23
Colombia,210010113,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=210010113/part-00079-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,9.1KB,2026-02-23
Colombia,210011000,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=210011000/part-00156-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,24.6KB,2026-02-23
Colombia,210011001,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=210011001/part-00081-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,39.9KB,2026-02-23
Colombia,210011002,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=210011002/part-00024-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,11.2KB,2026-02-23
Colombia,210011003,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=210011003/part-00047-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,5.8KB,2026-02-23
Colombia,210011010,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=210011010/part-00122-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,6.9KB,2026-02-23
Colombia,210011011,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=210011011/part-00113-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,32.3KB,2026-02-23
Colombia,210011012,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=210011012/part-00061-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,9.5KB,2026-02-23
Colombia,210011013,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=210011013/part-00051-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,23.9KB,2026-02-23
Colombia,210011100,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=210011100/part-00172-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,63.6KB,2026-02-23
Colombia,210011102,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=210011102/part-00006-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,50.8KB,2026-02-23
